Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.168                          str_m2_o10_o16_pcu_s_ID_76                          828               93.9800,77.3900,103.1500    22.3360,26.0810,26.6210      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.169                          str_m2_o10_o16_pcu_s_ID_77                          1332              95.4800,78.7800,102.4100    22.4450,26.1250,26.8780      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.17                           str_m2_o10_o16_pcu_s_ID_78                          936               94.4400,77.0300,102.3500    22.2340,26.3900,26.9330      1,1,1         C,H,N,Cu,O,S,Cl     
str_m2_o10_o16_pcu_sym.170                          str_m2_o10_o16_pcu_s_ID_79                          846               94.0600,77.1900,103.1600    22.2590,26.1830,26.8010      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.171                          str_m2_o10_o16_pcu_s_ID_80                          1152              95.0700,78.4000,102.7100    22.4550,26.0460,26.8530      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.172                          str_m2_o10_o16_pcu_s_ID_81                          792               94.9300,77.6700,103.2000    22.4320,26.0650,26.7710      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.173                          str_m2_o10_o16_pcu_s_ID_82                          954               94.7400,78.0800,101.6100    22.3900,26.2190,26.8800      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.174                          str_m2_o10_o16_pcu_s_ID_83                          810               94.0400,77.2300,103.1500    22.2790,26.0830,26.8060      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.175                          str_m2_o10_o16_pcu_s_ID_84                          810               94.8800,77.6100,103.3100    22.4070,26.0650,26.8290      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.176                          str_m2_o10_o16_pcu_s_ID_85                          1080              94.8600,78.5600,103.0400    22.4600,26.0950,26.9250      1,1,1         C,H,N,Cu,O          
