	Di	Df	Dif	Unitcell_volume:	Density:	ASA_A^2:	ASA_m^2/cm^3:	ASA_m^2/g:	NASA_A^2:	NASA_m^2/cm^3:	NASA_m^2/g:	AV_A^3:	AV_Volume_fraction:	AV_cm^3/g:	NAV_A^3:	NAV_Volume_fraction:	NAV_cm^3/g:
str_m1_o10_o16_pcu_sym.115.res	7.85221	6.24899	7.85216	31269.5	0.833401	7987.51	2554.41	3065.04	0	0	0	10411.5	0.33296	0.39952	0	0	0
str_m1_o10_o16_pcu_sym.116.res	8.22331	6.81136	7.97492	31252.9	0.820504	7430.54	2377.55	2897.67	0	0	0	10349.7	0.33116	0.403606	0	0	0
str_m1_o10_o16_pcu_sym.117.res	8.55414	6.73054	8.12441	31376.8	0.747721	7981.73	2543.83	3402.12	0	0	0	11314.5	0.3606	0.482266	0	0	0
str_m1_o10_o16_pcu_sym.118.res	6.27546	3.93467	6.27541	31316.4	1.12041	8572.36	2737.33	2443.15	0	0	0	4865.95	0.15538	0.138681	0	0	0
str_m1_o10_o16_pcu_sym.119.res	7.31654	6.20031	7.27891	31461.6	0.831252	8152.66	2591.31	3117.35	0	0	0	8854.54	0.28144	0.338573	0	0	0
str_m1_o10_o16_pcu_sym.12.res	6.36332	5.00047	6.36281	31214.2	1.21249	6255.5	2004.05	1652.85	0	0	0	4746.44	0.15206	0.125412	0	0	0
str_m1_o10_o16_pcu_sym.120.res	7.17731	5.2779	7.17731	31236	0.847876	8352.85	2674.11	3153.89	1.63232	0.522575	0.616334	7015.61	0.2246	0.264897	0	0	0
str_m1_o10_o16_pcu_sym.121.res	6.44009	4.96021	6.44003	31434.2	1.12213	7810.07	2484.58	2214.17	0	0	0	5855.56	0.18628	0.166006	0	0	0
str_m1_o10_o16_pcu_sym.122.res	7.13127	5.74767	7.1312	31196.2	0.883484	8323.44	2668.09	3019.97	0	0	0	6629.2	0.2125	0.240525	0	0	0
str_m1_o10_o16_pcu_sym.123.res	8.045	6.01679	7.97536	31290.9	0.762229	8741.51	2793.63	3665.08	0	0	0	10330.4	0.33014	0.433124	0	0	0
str_m1_o10_o16_pcu_sym.124.res	7.2847	4.80109	7.2847	31417.8	1.00855	7524.4	2394.95	2374.64	0	0	0	6411.75	0.20408	0.202349	0	0	0
str_m1_o10_o16_pcu_sym.125.res	6.75788	4.78635	6.75788	31326.1	0.906499	7944.89	2536.19	2797.78	0	0	0	6907.41	0.2205	0.243243	0	0	0
str_m1_o10_o16_pcu_sym.126.res	8.12743	6.72264	8.12718	31253	0.786033	7996.34	2558.58	3255.05	0	0	0	11005.4	0.35214	0.447996	0	0	0
str_m1_o10_o16_pcu_sym.127.res	8.02713	6.0808	8.02713	31285.3	0.763308	8610.57	2752.27	3605.71	0	0	0	10493.1	0.3354	0.439403	0	0	0
str_m1_o10_o16_pcu_sym.128.res	6.74339	5.21669	6.71194	31379.4	1.01913	7398.83	2357.86	2313.6	0	0	0	5915.01	0.1885	0.184962	0	0	0
str_m1_o10_o16_pcu_sym.129.res	6.15302	3.4358	5.80763	31382.6	1.15269	6955.41	2216.32	1922.74	0	0	0	3721.35	0.11858	0.102873	0	0	0
str_m1_o10_o16_pcu_sym.13.res	7.68635	5.54982	7.68346	31508.3	0.849906	8391.51	2663.27	3133.6	0	0	0	9064.94	0.2877	0.338508	0	0	0
str_m1_o10_o16_pcu_sym.130.res	7.62985	5.69973	7.55252	31427.3	0.860751	7696.24	2448.9	2845.08	0	0	0	8074.3	0.25692	0.298483	0	0	0
str_m1_o10_o16_pcu_sym.131.res	7.7162	6.51825	7.7162	31445.1	0.927564	7904.17	2513.64	2709.94	0	0	0	9258.69	0.29444	0.317433	0	0	0
str_m1_o10_o16_pcu_sym.132.res	8.28933	6.56835	8.28933	31377.5	0.790568	8156.06	2599.34	3287.94	0	0	0	10550.4	0.33624	0.425315	0	0	0
str_m1_o10_o16_pcu_sym.133.res	7.30311	5.6889	7.30309	31342.1	0.886977	7771.45	2479.56	2795.52	0	0	0	6995.55	0.2232	0.251641	0	0	0
str_m1_o10_o16_pcu_sym.134.res	8.53319	6.2621	8.53305	31291.6	0.776554	8111.91	2592.36	3338.29	0	0	0	10255.5	0.32774	0.422044	0	0	0
str_m1_o10_o16_pcu_sym.135.res	7.57459	6.34417	7.57435	31235.6	0.890042	6652.05	2129.64	2392.74	0.077913	0.024944	0.028025	7151.08	0.22894	0.257224	0	0	0
str_m1_o10_o16_pcu_sym.136.res	7.1785	5.37807	7.17831	31233.4	0.897615	8372.84	2680.74	2986.51	0	0	0	7827.09	0.2506	0.279184	0	0	0
str_m1_o10_o16_pcu_sym.137.res	6.82431	5.24807	6.82411	31301.6	0.93582	7660.93	2447.45	2615.3	0	0	0	6597.76	0.21078	0.225236	0	0	0
str_m1_o10_o16_pcu_sym.138.res	7.64112	6.28874	7.61178	31641	0.852024	8022.83	2535.58	2975.95	0	0	0	8686.08	0.27452	0.322198	0	0	0
str_m1_o10_o16_pcu_sym.139.res	8.44244	6.43738	8.44243	31364	0.812902	8155.57	2600.3	3198.79	0	0	0	9357.12	0.29834	0.367006	0	0	0
str_m1_o10_o16_pcu_sym.14.res	6.99941	5.53915	6.9994	31174.3	0.805425	8888.94	2851.36	3540.2	0	0	0	8357.22	0.26808	0.332843	0	0	0
str_m1_o10_o16_pcu_sym.140.res	6.94385	6.06823	6.90964	31289	0.926608	7641.43	2442.21	2635.65	0	0	0	6900.47	0.22054	0.238008	0	0	0
str_m1_o10_o16_pcu_sym.141.res	6.85895	4.06615	6.50463	31368.5	0.941571	7311.34	2330.79	2475.43	0	0	0	5283.08	0.16842	0.178871	0	0	0
str_m1_o10_o16_pcu_sym.142.res	8.16253	6.37019	7.99436	31298.2	0.763933	8172.42	2611.15	3418.03	0	0	0	10766.6	0.344	0.450301	0	0	0
str_m1_o10_o16_pcu_sym.143.res	6.82824	5.47473	6.71663	31166.1	0.918193	7938.78	2547.25	2774.2	0	0	0	6922	0.2221	0.241888	0	0	0
str_m1_o10_o16_pcu_sym.144.res	7.72241	6.49813	7.72221	31153.6	1.11715	7420.38	2381.87	2132.1	0	0	0	9013.35	0.28932	0.258981	0	0	0
str_m1_o10_o16_pcu_sym.145.res	6.96725	4.94157	6.96715	31471.9	1.2399	7358.78	2338.2	1885.8	0	0	0	5649.84	0.17952	0.144786	0	0	0
str_m1_o10_o16_pcu_sym.146.res	8.26046	6.56366	8.26046	31282.6	0.77862	8340.88	2666.31	3424.4	0	0	0	10674.2	0.34122	0.438237	0	0	0
str_m1_o10_o16_pcu_sym.147.res	7.88207	4.5709	7.88203	31225.5	1.12016	7606.25	2435.91	2174.61	0	0	0	5525.04	0.17694	0.157959	0	0	0
str_m1_o10_o16_pcu_sym.148.res	6.90185	5.27482	6.90185	31354.9	0.948482	7664.73	2444.51	2577.29	0	0	0	7258.03	0.23148	0.244053	0	0	0
str_m1_o10_o16_pcu_sym.149.res	7.17661	5.51923	7.15995	31380.2	1.01352	8057.94	2567.84	2533.58	0	0	0	6961.39	0.22184	0.21888	0	0	0
str_m1_o10_o16_pcu_sym.15.res	6.79376	4.38948	6.79376	31141.5	1.66559	6270.2	2013.46	1208.86	0	0	0	3862.17	0.12402	0.07446	0	0	0
str_m1_o10_o16_pcu_sym.150.res	7.95112	6.36822	7.95097	31264.6	0.783869	7908.38	2529.5	3226.94	0	0	0	10444.9	0.33408	0.426193	0	0	0
str_m1_o10_o16_pcu_sym.151.res	7.04303	5.3533	7.04299	31133.5	1.2627	7958.94	2556.39	2024.54	0	0	0	7303.91	0.2346	0.185792	0	0	0
str_m1_o10_o16_pcu_sym.152.res	7.69765	6.00584	7.16957	31421.4	0.941632	7811.47	2486.03	2640.13	0	0	0	8524.64	0.2713	0.288117	0	0	0
str_m1_o10_o16_pcu_sym.153.res	8.44119	6.62597	8.44107	31309.7	0.899017	7922.89	2530.5	2814.74	0	0	0	9933.93	0.31728	0.352919	0	0	0
str_m1_o10_o16_pcu_sym.154.res	8.19019	6.77698	8.11144	31272.8	0.763615	7589.19	2426.77	3178.01	0	0	0	10915.4	0.34904	0.457089	0	0	0
